S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,File Name,Constituency,State
7,ASHAVANT SAHOO,Bhartiya Shakti Chetna Party,4345,9,4354,0.32,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
8,SHRIKANT MALHWAYR (KASER),Loktantra Congress Party,4197,4,4201,0.31,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
9,VIKRAMPRASAD JOGI,Independent,2862,-,2862,0.21,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
10,KESHAV PRASAD,Independent,2765,2,2767,0.2,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
11,SUDIEP SHRIVASTAVA,Hamar Raj Party,2310,2,2312,0.17,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
12,RUPRAM SAHU,Independent,2261,-,2261,0.17,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
13,KRISHNA NANDAN SINGH,Independent,2020,-,2020,0.15,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
14,ROSHAN KUMAR,Independent,1920,-,1920,0.14,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
15,DINESH PRATAP SINGH KHUSRO NIKHIL,Rashtriya Gondvana Party,1792,16,1808,0.13,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
16,RAMESHWAR SAHU,Independent,1761,-,1761,0.13,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
17,VIJAY KUMAR,Independent,1625,1,1626,0.12,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
18,YASHUTOSH LAHARE,Ambedkarite Party of India,1271,3,1274,0.09,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
19,GHANSHYAM URF SADHELAL BHARDWAJ,Independent,1251,-,1251,0.09,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
20,VEDMANI SINGH KSHATRIYA (THAKUR),Independent,1163,-,1163,0.09,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
21,SHEKHAR BANJARE,Independent,1160,-,1160,0.09,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
22,SIDDHRAM LAHARE,Rashtriya Jansabha Party,1149,1,1150,0.08,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
23,RAMPYARE RAI,Independent,1112,-,1112,0.08,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
24,NAND KISHORE RAJ,Gondvana Gantantra Party,1049,12,1061,0.08,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
25,BHUNESHWAR MARKO,Independent,967,3,970,0.07,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
26,RAJKUMAR SAHU,Independent,828,1,829,0.06,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
27,BHAGWAT PATRE,Prabuddha Republican Party,710,2,712,0.05,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
28,LAKSHMAN PATHAK,Ekam Sanatan Bharat Dal,698,1,699,0.05,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
29,ADVOCATE SHAILENDRA BANJARE (SHAKTIPUTRA),Shakti Sena (Bharat Desh),690,-,690,0.05,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
30,RAJENDRA KUMAR TANDAN,Independent,654,2,656,0.05,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
31,SALIK RAM JOGI,Independent,575,1,576,0.04,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
32,BASANT BANSL,Independent,564,-,564,0.04,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
33,DEEPMALA CHOUHAN,Chhattisgarh Vikas Ganga Rashtriya Party,559,6,565,0.04,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
34,MAHESH KUMAR SONWANI,Independent,559,1,560,0.04,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
35,DEV PRASAD BRAIHA,Independent,511,-,511,0.04,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
36,SANJAY PRAKASH SAHU,Independent,435,1,436,0.03,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
37,PARAS RAM YADAV,Independent,414,1,415,0.03,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
38,NOTA,None of the Above,2842,7,2849,0.21,5 - BILASPUR (Chhattisgarh),5 - BILASPUR,Chhattisgarh
1,JADHAV PRATAPRAO GANPATRAO,Shiv Sena,348289,1578,349867,31.53,5 - Buldhana (Maharashtra),5 - Buldhana,Maharashtra
2,NARENDRA DAGDU KHEDEKAR,Shiv Sena (Uddhav Balasaheb Thackrey),319415,973,320388,28.88,5 - Buldhana (Maharashtra),5 - Buldhana,Maharashtra
3,RAVIKANT CHANDRADAS TUPKAR,Independent,249042,921,249963,22.53,5 - Buldhana (Maharashtra),5 - Buldhana,Maharashtra
4,VASANTRAO RAJARAM MAGAR,Vanchit Bahujan Aaghadi,98093,348,98441,8.87,5 - Buldhana (Maharashtra),5 - Buldhana,Maharashtra
5,ASHOK WAMAN HIWALE,Independent,15414,22,15436,1.39,5 - Buldhana (Maharashtra),5 - Buldhana,Maharashtra
6,SANDEEP RAMRAO SHELKE,Independent,12993,57,13050,1.18,5 - Buldhana (Maharashtra),5 - Buldhana,Maharashtra
7,GAUTAM KISANRAO MAGHADE,Bahujan Samaj Party,8125,93,8218,0.74,5 - Buldhana (Maharashtra),5 - Buldhana,Maharashtra
8,ASLAM SHAH HASAN SHAH,Maharashtra Vikas Aghadi,6117,36,6153,0.55,5 - Buldhana (Maharashtra),5 - Buldhana,Maharashtra
9,NANDU JAGANNATH LAWANGE,Independent,5696,17,5713,0.51,5 - Buldhana (Maharashtra),5 - Buldhana,Maharashtra
10,MACHHINDRA SHESHRAV MAGHADE,Socialist Party (India),5247,11,5258,0.47,5 - Buldhana (Maharashtra),5 - Buldhana,Maharashtra
11,MOHAMMAD HASAN INAMDAR,Minorities Democratic Party,4966,12,4978,0.45,5 - Buldhana (Maharashtra),5 - Buldhana,Maharashtra
12,GAJANAN JANARDAN DHANDE,Independent,4841,13,4854,0.44,5 - Buldhana (Maharashtra),5 - Buldhana,Maharashtra
13,DINKAR TUKARAM SAMBARE,Independent,4550,14,4564,0.41,5 - Buldhana (Maharashtra),5 - Buldhana,Maharashtra
14,BALASAHEB RAMCHANDRA INGLE,Independent,3911,20,3931,0.35,5 - Buldhana (Maharashtra),5 - Buldhana,Maharashtra
15,PRATAP PANDHARINATH PATIL,Independent,2547,14,2561,0.23,5 - Buldhana (Maharashtra),5 - Buldhana,Maharashtra
16,SANTOSH BHIMRAO INGLE,Republican Party of India (A),2524,6,2530,0.23,5 - Buldhana (Maharashtra),5 - Buldhana,Maharashtra
17,MADHAVRAO SAKHARAM BANSODE,Bahujan Republican Socialist Party,2441,14,2455,0.22,5 - Buldhana (Maharashtra),5 - Buldhana,Maharashtra
18,VIKAS BHAI NANDAVE,Bhim Sena,2322,9,2331,0.21,5 - Buldhana (Maharashtra),5 - Buldhana,Maharashtra
19,UDDHAV ONKAR ATOLE,Independent,1946,22,1968,0.18,5 - Buldhana (Maharashtra),5 - Buldhana,Maharashtra
20,REKHA KAILAS POPHALKAR,Independent,1533,7,1540,0.14,5 - Buldhana (Maharashtra),5 - Buldhana,Maharashtra
21,PROF SUMANTAI TIRPUDE,Peoples Party of India (Democratic),1505,6,1511,0.14,5 - Buldhana (Maharashtra),5 - Buldhana,Maharashtra
22,NOTA,None of the Above,3750,36,3786,0.34,5 - Buldhana (Maharashtra),5 - Buldhana,Maharashtra
1,RADHAKRISHNA,Indian National Congress,650623,1698,652321,49.78,5 - Gulbarga (Karnataka),5 - Gulbarga,Karnataka
2,DR. UMESH G JADHAV,Bharatiya Janata Party,622615,2501,625116,47.7,5 - Gulbarga (Karnataka),5 - Gulbarga,Karnataka
3,HUCHESHWARA WATHAR GOUR,Bahujan Samaj Party,7871,17,7888,0.6000000000000001,5 - Gulbarga (Karnataka),5 - Gulbarga,Karnataka
4,SUNDAR,Independent,3675,2,3677,0.28,5 - Gulbarga (Karnataka),5 - Gulbarga,Karnataka
5,JYOTI RAMESH CHAVAN,Independent,2787,18,2805,0.21,5 - Gulbarga (Karnataka),5 - Gulbarga,Karnataka
6,SHARANAPPA (PINTU),Independent,1879,5,1884,0.14,5 - Gulbarga (Karnataka),5 - Gulbarga,Karnataka
7,TARABAI BHOVI,Independent,1546,4,1550,0.12,5 - Gulbarga (Karnataka),5 - Gulbarga,Karnataka
8,RAMESH BHIMSING CHAVAN,Independent,1332,2,1334,0.1,5 - Gulbarga (Karnataka),5 - Gulbarga,Karnataka
9,ANAND SINNUR,Independent,1271,9,1280,0.1,5 - Gulbarga (Karnataka),5 - Gulbarga,Karnataka
10,NAGENDRA RAO,Uttama Prajaakeeya Party,1211,15,1226,0.09,5 - Gulbarga (Karnataka),5 - Gulbarga,Karnataka
11,S.M.SHARMA,Socialist Unity Centre Of India (COMMUNIST),1136,8,1144,0.09,5 - Gulbarga (Karnataka),5 - Gulbarga,Karnataka
12,RAJKUMAR,BhartiyaBahujanKranti Dal,702,7,709,0.05,5 - Gulbarga (Karnataka),5 - Gulbarga,Karnataka
13,VIJAY JADHAV,Karnataka Rashtra Samithi,555,5,560,0.04,5 - Gulbarga (Karnataka),5 - Gulbarga,Karnataka
14,B. VIJAYKUMAR CHINCHANSOORKAR,Prahar Janshakti Party,548,6,554,0.04,5 - Gulbarga (Karnataka),5 - Gulbarga,Karnataka
15,NOTA,None of the Above,8416,13,8429,0.64,5 - Gulbarga (Karnataka),5 - Gulbarga,Karnataka
1,BIJULI KALITA MEDHI,Bharatiya Janata Party,891901,2986,894887,55.95,5 - Guwahati (Assam),5 - Guwahati,Assam
2,MIRA BORTHAKUR GOSWAMI,Indian National Congress,642353,1444,643797,40.25,5 - Guwahati (Assam),5 - Guwahati,Assam
3,DIPAK KR BORO,Voters Party International,8494,54,8548,0.53,5 - Guwahati (Assam),5 - Guwahati,Assam
4,COLONEL GOKUL CHANDRA SINGHA,Independent,7644,34,7678,0.48,5 - Guwahati (Assam),5 - Guwahati,Assam
5,AMITABH SARMA,Ekam Sanatan Bharat Dal,7508,19,7527,0.47,5 - Guwahati (Assam),5 - Guwahati,Assam
6,KAZI NEKIB AHMED,Independent,6753,8,6761,0.42,5 - Guwahati (Assam),5 - Guwahati,Assam
7,SAMAD CHOUDHURY,Bharatiya Gana Parishad,5081,14,5095,0.32,5 - Guwahati (Assam),5 - Guwahati,Assam
8,SHEJON GOYARY,Bahujan Maha Party,4826,21,4847,0.3,5 - Guwahati (Assam),5 - Guwahati,Assam
9,NOTA,None of the Above,20139,110,20249,1.27,5 - Guwahati (Assam),5 - Guwahati,Assam
1,TRIVENDRA SINGH RAWAT,Bharatiya Janata Party,648498,5310,653808,50.19,5 - Haridwar (Uttarakhand),5 - Haridwar,Uttarakhand
2,VIRENDRA RAWAT,Indian National Congress,487406,2346,489752,37.6,5 - Haridwar (Uttarakhand),5 - Haridwar,Uttarakhand
3,UMESH KUMAR PATRAKAR,Independent,89958,1230,91188,7.0,5 - Haridwar (Uttarakhand),5 - Haridwar,Uttarakhand
4,JAMIL AHMAD,Bahujan Samaj Party,42116,207,42323,3.25,5 - Haridwar (Uttarakhand),5 - Haridwar,Uttarakhand
5,BALBIR SINGH BHANDARI,Uttarakhand Samanta Party,2943,18,2961,0.23,5 - Haridwar (Uttarakhand),5 - Haridwar,Uttarakhand
6,MOHAN SINGH ASWAL,Uttarakhand Kranti Dal,2809,45,2854,0.22,5 - Haridwar (Uttarakhand),5 - Haridwar,Uttarakhand
7,VIJAY KUMAR,Independent,2409,1,2410,0.19,5 - Haridwar (Uttarakhand),5 - Haridwar,Uttarakhand
8,PAWAN KASHYAP,Independent,2170,8,2178,0.17,5 - Haridwar (Uttarakhand),5 - Haridwar,Uttarakhand
9,KARAN SINGH SAINI ENGINEER,Independent,1963,11,1974,0.15,5 - Haridwar (Uttarakhand),5 - Haridwar,Uttarakhand
10,AKRAM HUSSAIN,Independent,1678,7,1685,0.13,5 - Haridwar (Uttarakhand),5 - Haridwar,Uttarakhand
11,LALIT KUMAR,Peoples Party of India (Democratic),1396,14,1410,0.11,5 - Haridwar (Uttarakhand),5 - Haridwar,Uttarakhand
12,SURESH PAL,Bhartiya Rashtriya Ekta Dal,1150,12,1162,0.09,5 - Haridwar (Uttarakhand),5 - Haridwar,Uttarakhand
13,ASHISH DHYANI,Independent,1107,10,1117,0.09,5 - Haridwar (Uttarakhand),5 - Haridwar,Uttarakhand
14,AVNISH KUMAR,Independent,967,8,975,0.07,5 - Haridwar (Uttarakhand),5 - Haridwar,Uttarakhand
15,NOTA,None of the Above,6663,163,6826,0.52,5 - Haridwar (Uttarakhand),5 - Haridwar,Uttarakhand
1,DR. RAJ KUMAR CHABBEWAL,Aam Aadmi Party,302402,1457,303859,32.04,5 - Hoshiarpur (Punjab),5 - Hoshiarpur,Punjab
2,YAMINI GOMAR,Indian National Congress,257936,1812,259748,27.39,5 - Hoshiarpur (Punjab),5 - Hoshiarpur,Punjab
3,ANITA SOM PARKASH,Bharatiya Janata Party,198576,1418,199994,21.09,5 - Hoshiarpur (Punjab),5 - Hoshiarpur,Punjab
4,SOHAN SINGH THANDAL,Shiromani Akali Dal,91503,286,91789,9.68,5 - Hoshiarpur (Punjab),5 - Hoshiarpur,Punjab
5,RANJIT KUMAR,Bahujan Samaj Party,47975,239,48214,5.08,5 - Hoshiarpur (Punjab),5 - Hoshiarpur,Punjab
6,JASWANT SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),20680,243,20923,2.21,5 - Hoshiarpur (Punjab),5 - Hoshiarpur,Punjab
7,JEEVAN SINGH TAMIL,Bahujan Dravida Party,4607,14,4621,0.49,5 - Hoshiarpur (Punjab),5 - Hoshiarpur,Punjab
8,ROHIT KUMAR TINKU,Independent,2417,2,2419,0.26,5 - Hoshiarpur (Punjab),5 - Hoshiarpur,Punjab
9,RAJESH,Democratic Bharatiya Samaj Party,2330,6,2336,0.25,5 - Hoshiarpur (Punjab),5 - Hoshiarpur,Punjab
10,SONU SINGH PHAGWARA,Independent,1871,13,1884,0.2,5 - Hoshiarpur (Punjab),5 - Hoshiarpur,Punjab
11,DAVINDER SINGH,Independent,1584,33,1617,0.17,5 - Hoshiarpur (Punjab),5 - Hoshiarpur,Punjab
12,HARDEEP SINGH,Nationalist Justice Party,1403,22,1425,0.15,5 - Hoshiarpur (Punjab),5 - Hoshiarpur,Punjab
13,RAJPAL NADALI,Bahujan Mukti Party,1138,2,1140,0.12,5 - Hoshiarpur (Punjab),5 - Hoshiarpur,Punjab
14,BHIMRAO YASHWANT AMBEDKAR,Global Republican Party,1034,7,1041,0.11,5 - Hoshiarpur (Punjab),5 - Hoshiarpur,Punjab
15,SATPAL,Independent,978,15,993,0.1,5 - Hoshiarpur (Punjab),5 - Hoshiarpur,Punjab
16,DAVINDER KUMAR SAROYA,Samaj Bhalai Morcha,923,7,930,0.1,5 - Hoshiarpur (Punjab),5 - Hoshiarpur,Punjab
17,NOTA,None of the Above,5453,99,5552,0.59,5 - Hoshiarpur (Punjab),5 - Hoshiarpur,Punjab
1,JUGAL KISHORE,Bharatiya Janata Party,677571,10017,687588,52.8,5 - JAMMU (Jammu and Kashmir),5 - JAMMU,Jammu and Kashmir
2,RAMAN BHALLA,Indian National Congress,546031,6059,552090,42.4,5 - JAMMU (Jammu and Kashmir),5 - JAMMU,Jammu and Kashmir
3,JAGDISH RAJ,Bahujan Samaj Party,10253,47,10300,0.79,5 - JAMMU (Jammu and Kashmir),5 - JAMMU,Jammu and Kashmir
4,SATISH POONCHI,Independent,5948,11,5959,0.46,5 - JAMMU (Jammu and Kashmir),5 - JAMMU,Jammu and Kashmir
5,ANKUR SHARMA,Ekam Sanatan Bharat Dal,4268,10,4278,0.33,5 - JAMMU (Jammu and Kashmir),5 - JAMMU,Jammu and Kashmir
6,NARESH KUMAR CHIB,Jammu & Kashmir National Panthers Party (Bhim),4231,12,4243,0.33,5 - JAMMU (Jammu and Kashmir),5 - JAMMU,Jammu and Kashmir
7,PRINCIPAL C D SHARMA,Independent,3256,1,3257,0.25,5 - JAMMU (Jammu and Kashmir),5 - JAMMU,Jammu and Kashmir
8,KARANJIT,Independent,3199,8,3207,0.25,5 - JAMMU (Jammu and Kashmir),5 - JAMMU,Jammu and Kashmir
9,SHABER AHMED,Independent,3174,3,3177,0.24,5 - JAMMU (Jammu and Kashmir),5 - JAMMU,Jammu and Kashmir
10,SHIKHA BANDRAL,National Awami United Party,2932,5,2937,0.23,5 - JAMMU (Jammu and Kashmir),5 - JAMMU,Jammu and Kashmir
11,DR PRINCE RAINA,Independent,2863,3,2866,0.22,5 - JAMMU (Jammu and Kashmir),5 - JAMMU,Jammu and Kashmir
12,RAJ KUMAR,Independent,2611,7,2618,0.2,5 - JAMMU (Jammu and Kashmir),5 - JAMMU,Jammu and Kashmir
13,SURINDER SINGH,Independent,2216,10,2226,0.17,5 - JAMMU (Jammu and Kashmir),5 - JAMMU,Jammu and Kashmir
14,ATUL RAINA,Independent,2063,5,2068,0.16,5 - JAMMU (Jammu and Kashmir),5 - JAMMU,Jammu and Kashmir
15,RATTAN LAL,Jammu & Kashmir People Conference,1650,1,1651,0.13,5 - JAMMU (Jammu and Kashmir),5 - JAMMU,Jammu and Kashmir
16,SWAMI DIVYA NAND,Jammu and Kashmir Nationalist People's Front,1618,2,1620,0.12,5 - JAMMU (Jammu and Kashmir),5 - JAMMU,Jammu and Kashmir
17,PERSEEN SINGH,Independent,1587,2,1589,0.12,5 - JAMMU (Jammu and Kashmir),5 - JAMMU,Jammu and Kashmir
18,NARESH KUMAR TALLA,Independent,1458,1,1459,0.11,5 - JAMMU (Jammu and Kashmir),5 - JAMMU,Jammu and Kashmir
19,GANESH CHOUDHARY,Hindustan Shakti Sena,1187,3,1190,0.09,5 - JAMMU (Jammu and Kashmir),5 - JAMMU,Jammu and Kashmir
20,VICKY KUMAR DOGRA,Independent,1163,2,1165,0.09,5 - JAMMU (Jammu and Kashmir),5 - JAMMU,Jammu and Kashmir
21,BANSI LAL,Independent,1051,8,1059,0.08,5 - JAMMU (Jammu and Kashmir),5 - JAMMU,Jammu and Kashmir
22,QARI ZAHEER ABBAS BHATTI,All India Forward Bloc,983,1,984,0.08,5 - JAMMU (Jammu and Kashmir),5 - JAMMU,Jammu and Kashmir
23,NOTA,None of the Above,4631,14,4645,0.36,5 - JAMMU (Jammu and Kashmir),5 - JAMMU,Jammu and Kashmir
1,MANOHAR LAL,Bharatiya Janata Party,737282,2003,739285,54.93,5 - KARNAL (Haryana),5 - KARNAL,Haryana
2,DIVYANSHU BUDHIRAJA,Indian National Congress,504437,2271,506708,37.65,5 - KARNAL (Haryana),5 - KARNAL,Haryana
3,INDER SINGH,Bahujan Samaj Party,32410,98,32508,2.42,5 - KARNAL (Haryana),5 - KARNAL,Haryana
4,MARATHA VIRENDER VERMA,Nationalist Congress Party – Sharadchandra Pawar,28984,167,29151,2.17,5 - KARNAL (Haryana),5 - KARNAL,Haryana
5,DEVENDER KADIAN,Jannayak Janta Party,11399,68,11467,0.85,5 - KARNAL (Haryana),5 - KARNAL,Haryana
6,MANOJ BANSAL,Independent,4000,4,4004,0.3,5 - KARNAL (Haryana),5 - KARNAL,Haryana
7,GULSHAN KASHYAP,Independent,2987,7,2994,0.22,5 - KARNAL (Haryana),5 - KARNAL,Haryana
8,ASHOK KATARIA,Samst Samaj Party,2898,6,2904,0.22,5 - KARNAL (Haryana),5 - KARNAL,Haryana
9,HARJEET SINGH VIRK,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1857,9,1866,0.14,5 - KARNAL (Haryana),5 - KARNAL,Haryana
10,SONIA,Independent,1846,5,1851,0.14,5 - KARNAL (Haryana),5 - KARNAL,Haryana
11,MANISH,Independent,1587,-,1587,0.12,5 - KARNAL (Haryana),5 - KARNAL,Haryana
12,LEENA KOHLI,Independent,1281,11,1292,0.1,5 - KARNAL (Haryana),5 - KARNAL,Haryana
13,NITIN GEHLOT,Peoples Party of India (Democratic),1252,1,1253,0.09,5 - KARNAL (Haryana),5 - KARNAL,Haryana
14,BALWAN SINGH,Independent,1186,2,1188,0.09,5 - KARNAL (Haryana),5 - KARNAL,Haryana
15,VINEET CHOUDHARY,Bharatiya Asha Party,1018,2,1020,0.08,5 - KARNAL (Haryana),5 - KARNAL,Haryana
16,ROOP SINGH,Rashtriya Garib Dal,766,3,769,0.06,5 - KARNAL (Haryana),5 - KARNAL,Haryana
17,SAWAMI AGNIVESH,Independent,748,4,752,0.06,5 - KARNAL (Haryana),5 - KARNAL,Haryana
18,AZAD SINGH PUNIA,Independent,703,2,705,0.05,5 - KARNAL (Haryana),5 - KARNAL,Haryana
19,ASHOK KUMAR,Independent,631,2,633,0.05,5 - KARNAL (Haryana),5 - KARNAL,Haryana
20,NOTA,None of the Above,3925,30,3955,0.29,5 - KARNAL (Haryana),5 - KARNAL,Haryana
1,ANNPURNA DEVI,Bharatiya Janata Party,787185,4472,791657,57.79,5 - Kodarma (Jharkhand),5 - Kodarma,Jharkhand
2,VINOD KUMAR SINGH,Communist Party of India (Marxist-Leninist) (Liberation),410945,3698,414643,30.27,5 - Kodarma (Jharkhand),5 - Kodarma,Jharkhand
3,MANOJ KUMAR,Independent,28310,302,28612,2.09,5 - Kodarma (Jharkhand),5 - Kodarma,Jharkhand
4,JAI PRAKASH VERMA,Independent,22843,380,23223,1.7000000000000002,5 - Kodarma (Jharkhand),5 - Kodarma,Jharkhand
5,SITAN RABIDAS,Bahujan Samaj Party,13067,107,13174,0.96,5 - Kodarma (Jharkhand),5 - Kodarma,Jharkhand
6,SURENDRA KUMAR AGRAWAL,Independent,9646,10,9656,0.7000000000000001,5 - Kodarma (Jharkhand),5 - Kodarma,Jharkhand
7,SAHADAT ANSARI,Independent,8217,15,8232,0.6000000000000001,5 - Kodarma (Jharkhand),5 - Kodarma,Jharkhand
8,JAYNARAYAN DAS,Bahujan Mukti Party,6701,37,6738,0.49,5 - Kodarma (Jharkhand),5 - Kodarma,Jharkhand
9,AKLESHWAR SAW,Lokhit Adhikar Party,5574,27,5601,0.41,5 - Kodarma (Jharkhand),5 - Kodarma,Jharkhand
10,JITLAL KISKU,Independent,5299,34,5333,0.39,5 - Kodarma (Jharkhand),5 - Kodarma,Jharkhand
11,MD. SAGIR,Independent,5041,3,5044,0.37,5 - Kodarma (Jharkhand),5 - Kodarma,Jharkhand
12,AJAY KRISHNA,Moolniwasi Samaj Party,4526,15,4541,0.33,5 - Kodarma (Jharkhand),5 - Kodarma,Jharkhand
13,RAJESH,Independent,4230,3,4233,0.31,5 - Kodarma (Jharkhand),5 - Kodarma,Jharkhand
14,RAMESHWAR PRASAD YADAV,Independent,4227,2,4229,0.31,5 - Kodarma (Jharkhand),5 - Kodarma,Jharkhand
15,ASHISH KUMAR,Right to Recall Party,2892,4,2896,0.21,5 - Kodarma (Jharkhand),5 - Kodarma,Jharkhand
16,NOTA,None of the Above,42089,63,42152,3.08,5 - Kodarma (Jharkhand),5 - Kodarma,Jharkhand
1,M. K. RAGHAVAN,Indian National Congress,515608,4813,520421,47.74,5 - Kozhikode (Kerala),5 - Kozhikode,Kerala
2,ELAMARAM KAREEM,Communist Party of India (Marxist),369884,4361,374245,34.33,5 - Kozhikode (Kerala),5 - Kozhikode,Kerala
3,M. T. RAMESH,Bharatiya Janata Party,178692,1974,180666,16.57,5 - Kozhikode (Kerala),5 - Kozhikode,Kerala
4,ARAMUKHAN,Bahujan Samaj Party,1684,31,1715,0.16,5 - Kozhikode (Kerala),5 - Kozhikode,Kerala
5,ARAVINDAKSHAN NAIR M. K.,Bharatheeya Jawan Kisan Party,1290,15,1305,0.12,5 - Kozhikode (Kerala),5 - Kozhikode,Kerala
6,RAGHAVAN S/O NARAYANAN NAIR,Independent,1057,39,1096,0.1,5 - Kozhikode (Kerala),5 - Kozhikode,Kerala
7,T. RAGHAVAN S/O VELLANKUTTY,Independent,1009,9,1018,0.09,5 - Kozhikode (Kerala),5 - Kozhikode,Kerala
8,N. RAGHAVAN S/O DAMU,Independent,753,29,782,0.07,5 - Kozhikode (Kerala),5 - Kozhikode,Kerala
9,SUBHA,Independent,705,7,712,0.07,5 - Kozhikode (Kerala),5 - Kozhikode,Kerala
10,DR. M. JYOTHIRAJ,Socialist Unity Centre Of India (COMMUNIST),641,12,653,0.06,5 - Kozhikode (Kerala),5 - Kozhikode,Kerala
11,ABDUL KAREEM S/O MAHAMMOOD,Independent,536,5,541,0.05,5 - Kozhikode (Kerala),5 - Kozhikode,Kerala
12,ABDUL KAREEM S/O AYAMMATH KUTTY,Independent,285,2,287,0.03,5 - Kozhikode (Kerala),5 - Kozhikode,Kerala
13,ABDUL KAREEM K. S/O ASSAIN,Independent,257,36,293,0.03,5 - Kozhikode (Kerala),5 - Kozhikode,Kerala
14,NOTA,None of the Above,6236,80,6316,0.58,5 - Kozhikode (Kerala),5 - Kozhikode,Kerala
1,NABA CHARAN MAJHI,Bharatiya Janata Party,580579,5392,585971,49.91,5 - Mayurbhanj (Odisha),5 - Mayurbhanj,Odisha
2,SUDAM MARNDI,Biju Janata Dal,364745,1892,366637,31.23,5 - Mayurbhanj (Odisha),5 - Mayurbhanj,Odisha
3,ANJANI SOREN,Jharkhand Mukti Morcha,134713,686,135399,11.53,5 - Mayurbhanj (Odisha),5 - Mayurbhanj,Odisha
4,RABINDRA NATH SINGH,Independent,9282,42,9324,0.79,5 - Mayurbhanj (Odisha),5 - Mayurbhanj,Odisha
5,ASHOK KUMAR SING,Independent,8918,35,8953,0.76,5 - Mayurbhanj (Odisha),5 - Mayurbhanj,Odisha
6,JATIA SAWAYAN,Bahujan Samaj Party,8457,45,8502,0.72,5 - Mayurbhanj (Odisha),5 - Mayurbhanj,Odisha
7,SANTILATA CHATTAR,Independent,8448,29,8477,0.72,5 - Mayurbhanj (Odisha),5 - Mayurbhanj,Odisha
8,PITAMBAR NAIK,Socialist Unity Centre Of India (COMMUNIST),8070,44,8114,0.6900000000000001,5 - Mayurbhanj (Odisha),5 - Mayurbhanj,Odisha
9,ANTA ALOK BASKEY,AJSU Party,5386,8,5394,0.46,5 - Mayurbhanj (Odisha),5 - Mayurbhanj,Odisha
10,BAJUN HANSDA,Independent,5304,18,5322,0.45,5 - Mayurbhanj (Odisha),5 - Mayurbhanj,Odisha
11,KANHU CHARAN TUDU,Independent,5103,35,5138,0.44,5 - Mayurbhanj (Odisha),5 - Mayurbhanj,Odisha
12,SUKANTA HEMBRAM,Bharatiya Nyay-Adhikar Raksha Party,3636,20,3656,0.31,5 - Mayurbhanj (Odisha),5 - Mayurbhanj,Odisha
13,GURU CHARAN HEMBRAM,Bharatheeya Jawan Kisan Party,3175,35,3210,0.27,5 - Mayurbhanj (Odisha),5 - Mayurbhanj,Odisha
14,NOTA,None of the Above,19853,100,19953,1.7000000000000002,5 - Mayurbhanj (Odisha),5 - Mayurbhanj,Odisha
1,CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram),511812,740,512552,51.19,5 - Nagina (Uttar Pradesh),5 - Nagina,Uttar Pradesh
2,OM KUMAR,Bharatiya Janata Party,359751,1328,361079,36.06,5 - Nagina (Uttar Pradesh),5 - Nagina,Uttar Pradesh
